rank,name,scores_overall,scores_overall_rank,scores_teaching,scores_teaching_rank,scores_research,scores_research_rank,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,record_type,member_level,url,country code,location,stats_number_students,stats_student_staff_ratio,stats_pc_intl_students,stats_female_male_ratio,aliases,subjects_offered,closed,unaccredited,disabled,website_url,,intl_stu_dec,intl_val,stu_val,female,male,stu_rank,stu_rank_a
2613,Turin Polytechnic University in Tashkent,n/a,1000709,n/a,2613,n/a,2613,n/a,2613,n/a,2613,n/a,2613,master_account,0,/world-university-rankings/turin-polytechnic-university-tashkent,,Uzbekistan,"1,904",39.7,1%,0.561111111,Turin Polytechnic University in Tashkent,"General Engineering,Computer Science,Civil Engineering,Chemical Engineering,Mechanical & Aerospace Engineering,Electrical & Electronic Engineering,Business & Management",FALSE,FALSE,FALSE,,,0.01,19.04,1904,0,0,2488,185
2614,Turkmen State Architecture and Construction Institute,n/a,1000710,n/a,2614,n/a,2614,n/a,2614,n/a,2614,n/a,2614,master_account,0,/world-university-rankings/turkmen-state-architecture-and-construction-institute,,Turkmenistan,"3,416",9.9,0%,0.643055556,Turkmen State Architecture and Construction Institute,"Computer Science,Civil Engineering,Electrical & Electronic Engineering,Chemical Engineering,Mathematics & Statistics,Psychology,Business & Management,General Engineering,Chemistry,Physics & Astronomy",FALSE,FALSE,FALSE,,,0,0,3416,0,0,2318,355
2615,Turkmen State Institute of Economics and Management,n/a,1000711,n/a,2615,n/a,2615,n/a,2615,n/a,2615,n/a,2615,master_account,0,/world-university-rankings/turkmen-state-institute-economics-and-management,,Turkmenistan,"3,574",13.1,0%,51:49:00,Turkmen State Institute of Economics and Management,"Mathematics & Statistics,Business & Management,Accounting & Finance,Sociology,Economics & Econometrics,Computer Science,Politics & International Studies (incl Development Studies)",FALSE,FALSE,FALSE,,,0,0,3574,51,49,2304,369
2616,Tver State Technical University,n/a,1000712,n/a,2616,n/a,2616,n/a,2616,n/a,2616,n/a,2616,master_account,0,/world-university-rankings/tver-state-technical-university,,Russia,"3,229",8.5,10%,31 : 69,Tver State Technical University,"General Engineering,Business & Management,Computer Science,Education,Chemistry,Communication & Media Studies,Physics & Astronomy,Accounting & Finance,Electrical & Electronic Engineering,Sociology,Mathematics & Statistics,Geology, Environmental, Earth & Marine Sciences,Civil Engineering,Economics & Econometrics,Chemical Engineering,Psychology,Biological Sciences",FALSE,FALSE,TRUE,,,0.1,322.9,3229,31,0,2343,329
2617,Ubon Ratchathani University,n/a,1000713,n/a,2617,n/a,2617,n/a,2617,n/a,2617,n/a,2617,master_account,0,/world-university-rankings/ubon-ratchathani-university,,Thailand,"16,687",23.9,0%,67:33:00,Ubon Ratchathani University,"Computer Science,Languages, Literature & Linguistics,Law,Chemistry,Civil Engineering,Education,General Engineering,Biological Sciences,Accounting & Finance,Other Health,Mathematics & Statistics,Architecture,Business & Management,Chemical Engineering,Sociology,Art, Performing Arts & Design,Politics & International Studies (incl Development Studies),Electrical & Electronic Engineering,Communication & Media Studies,Medicine & Dentistry,Agriculture & Forestry",FALSE,FALSE,FALSE,,,0,0,16687,67,33,1057,1616
2618,UBT,n/a,1000714,n/a,2618,n/a,2618,n/a,2618,n/a,2618,n/a,2618,master_account,0,/world-university-rankings/ubt,,Kosovo,"14,191",12.6,3%,50:50:00,UBT,"Electrical & Electronic Engineering,Communication & Media Studies,Sport Science,General Engineering,Accounting & Finance,Art, Performing Arts & Design,Computer Science,Economics & Econometrics,Mechanical & Aerospace Engineering,Business & Management,Civil Engineering,Languages, Literature & Linguistics,Politics & International Studies (incl Development Studies),Agriculture & Forestry,Architecture,Other Health,Law,Medicine & Dentistry,Psychology",FALSE,FALSE,FALSE,,,0.03,425.73,14191,50,50,1233,1440
2619,"UEES, Espiritu Santo University",n/a,1000715,n/a,2619,n/a,2619,n/a,2619,n/a,2619,n/a,2619,master_account,0,/world-university-rankings/uees-espiritu-santo-university,,Ecuador,"3,425",12.8,24%,51:49:00,"UEES, Espiritu Santo University","Education,General Engineering,Accounting & Finance,Biological Sciences,Computer Science,Architecture,Psychology,Communication & Media Studies,Politics & International Studies (incl Development Studies),Law,Medicine & Dentistry,Other Health,Economics & Econometrics,Civil Engineering,Business & Management,Mechanical & Aerospace Engineering,Art, Performing Arts & Design,Geology, Environmental, Earth & Marine Sciences",FALSE,FALSE,FALSE,,,0.24,822,3425,51,49,2316,357
2620,UIN Sulthan Thaha Saifuddin Jambi,n/a,1000716,n/a,2620,n/a,2620,n/a,2620,n/a,2620,n/a,2620,master_account,0,/world-university-rankings/uin-sulthan-thaha-saifuddin-jambi-0,,Indonesia,"17,661",47,0%,57:43:00,UIN Sulthan Thaha Saifuddin Jambi,"Mathematics & Statistics,Education,Languages, Literature & Linguistics,Communication & Media Studies,Business & Management,History, Philosophy & Theology,Politics & International Studies (incl Development Studies),Physics & Astronomy,Biological Sciences,Law,Computer Science,Economics & Econometrics,Chemistry,Chemical Engineering,Accounting & Finance",FALSE,FALSE,FALSE,,,0,0,17661,57,43,997,1676
2621,Ulyanovsk State University,n/a,1000717,n/a,2621,n/a,2621,n/a,2621,n/a,2621,n/a,2621,master_account,0,/world-university-rankings/ulyanovsk-state-university,,Russia,"10,691",18.2,17%,56:44:00,Ulyanovsk State University,"Economics & Econometrics,Art, Performing Arts & Design,Education,Other Health,Psychology,Agriculture & Forestry,Medicine & Dentistry,Law,Sociology,Computer Science,Mechanical & Aerospace Engineering,Communication & Media Studies,History, Philosophy & Theology,General Engineering,Accounting & Finance,Mathematics & Statistics,Chemistry,Languages, Literature & Linguistics,Sport Science,Physics & Astronomy,Politics & International Studies (incl Development Studies),Business & Management,Electrical & Electronic Engineering",FALSE,FALSE,TRUE,,,0.17,1817.47,10691,56,44,1510,1163
2622,Ulyanovsk State Technical University,n/a,1000718,n/a,2622,n/a,2622,n/a,2622,n/a,2622,n/a,2622,master_account,0,/world-university-rankings/ulyanovsk-state-technical-university-0,,Russia,"6,412",16.6,8%,33 : 67,Ulyanovsk State Technical University,"Architecture,Civil Engineering,Accounting & Finance,Mathematics & Statistics,Chemistry,Electrical & Electronic Engineering,Computer Science,General Engineering,History, Philosophy & Theology,Mechanical & Aerospace Engineering,Art, Performing Arts & Design,Communication & Media Studies,Economics & Econometrics,Languages, Literature & Linguistics,Business & Management,Sociology",FALSE,FALSE,TRUE,,,0.08,512.96,6412,33,0,1975,698
2623,UNESC,n/a,1000719,n/a,2623,n/a,2623,n/a,2623,n/a,2623,n/a,2623,master_account,0,/world-university-rankings/unesc,,Brazil,"10,052",19.7,0%,63:37:00,UNESC,"General Engineering,Economics & Econometrics,Chemistry,Other Health,Physics & Astronomy,Civil Engineering,Law,Mathematics & Statistics,Communication & Media Studies,Mechanical & Aerospace Engineering,Education,Business & Management,Languages, Literature & Linguistics,Psychology,Sport Science,Computer Science,Medicine & Dentistry,Biological Sciences,History, Philosophy & Theology,Accounting & Finance,Chemical Engineering,Architecture,Geography,Art, Performing Arts & Design",FALSE,FALSE,FALSE,,,0,0,10052,63,37,1589,1084
2624,Unichristus,n/a,1000720,n/a,2624,n/a,2624,n/a,2624,n/a,2624,n/a,2624,master_account,0,/world-university-rankings/unichristus,,Brazil,"5,055",10.6,0%,65:35:00,Unichristus,"Computer Science,General Engineering,Other Health,Psychology,Accounting & Finance,Architecture,Business & Management,Veterinary Science,Medicine & Dentistry,Civil Engineering,Law",FALSE,FALSE,FALSE,,,0,0,5055,65,35,2138,535
2625,United International University,n/a,1000721,n/a,2625,n/a,2625,n/a,2625,n/a,2625,n/a,2625,master_account,0,/world-university-rankings/united-international-university,,Bangladesh,"4,759",21.9,1%,28 : 72,United International University,"Civil Engineering,Communication & Media Studies,Accounting & Finance,Electrical & Electronic Engineering,Geography,Business & Management,Computer Science,Politics & International Studies (incl Development Studies),Economics & Econometrics",FALSE,FALSE,FALSE,,,0.01,47.59,4759,28,0,2172,501
2626,Universiapolis – Université Internationale d’Agadir,n/a,1000722,n/a,2626,n/a,2626,n/a,2626,n/a,2626,n/a,2626,master_account,0,/world-university-rankings/universiapolis-universite-internationale-dagadir,,Morocco,"2,628",22.9,11%,,Universiapolis – Université Internationale d’Agadir,"Mechanical & Aerospace Engineering,Computer Science,Accounting & Finance,Other Health,Civil Engineering,Business & Management,Law,Electrical & Electronic Engineering",FALSE,FALSE,FALSE,,,0.11,289.08,2628,0,0,2413,260
